addref,city,year,engine,mileage,body,make,fuel,transmission,price
7000001,Lahore,1993,2060,12000,MPV,Honda,Petrol,Manual,2541431
7000002,Lahore,2018,2760,89000,MPV,Honda,Petrol,Automatic,2103678
7000003,Lahore,2002,2160,235500,MPV,Honda,Petrol,Automatic,3891392
7000004,Lahore,2009,2560,2500,MPV,Honda,Petrol,Manual,2625972
7000005,Lahore,2017,1960,19500,MPV,Honda,Petrol,Manual,5160204
7000006,Lahore,2004,2960,230500,MPV,Honda,Diesel,Manual,2887281
7000007,Lahore,2011,1660,102500,MPV,Honda,Petrol,Manual,3017341
7000008,Lahore,2016,960,249500,MPV,Honda,Petrol,Manual,3795657
7000009,Lahore,1996,660,232500,MPV,Honda,Petrol,Automatic,3968182
7000010,Lahore,2021,2160,10500,MPV,Honda,Petrol,Manual,3750463
7000011,Lahore,2003,860,208000,MPV,Honda,Diesel,Manual,2208006
7000012,Lahore,1998,3360,126500,MPV,Honda,Petrol,Manual,1084195
7000013,Lahore,2002,3360,1000,MPV,Honda,Petrol,Manual,2344550
7000014,Lahore,1997,1960,131500,MPV,Honda,Diesel,Automatic,3596049
7000015,Lahore,2015,1160,143000,MPV,Honda,Petrol,Automatic,2644709
7000016,Lahore,1998,2660,172500,MPV,Honda,Petrol,Automatic,3666078
7000017,Lahore,1993,1160,58500,MPV,Honda,Diesel,Manual,2382283
7000018,Lahore,2010,1060,194000,MPV,Honda,Petrol,Manual,1654110
7000019,Lahore,2004,1260,231500,MPV,Honda,Petrol,Manual,2267018
7000020,Lahore,2005,660,28000,MPV,Honda,Diesel,Manual,1643965
7000021,Lahore,1992,2960,166500,MPV,Honda,Diesel,Manual,2500513
7000022,Lahore,2018,1260,233000,MPV,Honda,Petrol,Manual,4156704
7000023,Lahore,2009,2260,5500,MPV,Honda,Petrol,Automatic,1524898
7000024,Lahore,2003,2260,3000,MPV,Honda,Petrol,Manual,2397567
7000025,Lahore,2011,2460,14000,MPV,Honda,Petrol,Automatic,4932209
7000026,Lahore,2000,1360,190500,MPV,Honda,Petrol,Automatic,2468116
7000027,Lahore,1996,2760,170000,MPV,Honda,Petrol,Manual,1996221
7000028,Lahore,2011,2860,38000,MPV,Honda,Petrol,Manual,2615166
7000029,Lahore,2010,2660,70500,MPV,Honda,Petrol,Automatic,4139958
7000030,Lahore,2011,3460,2500,MPV,Honda,Petrol,Manual,2018105
7000031,Lahore,2019,1060,240000,MPV,Honda,Petrol,Automatic,2811094
7000032,Lahore,1996,2760,114500,MPV,Honda,CNG,Manual,2953494
7000033,Lahore,2014,1060,65000,MPV,Honda,Diesel,Manual,4077522
7000034,Lahore,2012,3460,136000,MPV,Honda,Petrol,Manual,1713005
7000035,Lahore,2009,2260,186000,MPV,Honda,Diesel,Manual,2639177
7000036,Lahore,2018,660,143500,MPV,Honda,Diesel,Manual,3009956
7000037,Lahore,2014,2660,90500,MPV,Honda,Petrol,Automatic,2769677
7000038,Lahore,1999,1260,92500,MPV,Honda,Petrol,Automatic,3876184
7000039,Lahore,1992,1060,216500,MPV,Honda,Hybrid,Manual,3078161
7000040,Lahore,1994,1460,85000,MPV,Honda,Petrol,Automatic,2166219
7000041,Lahore,2021,1660,221000,MPV,Honda,Petrol,Manual,2530609
7000042,Lahore,2009,860,130500,MPV,Honda,Petrol,Manual,3058338
7000043,Lahore,2005,2060,139000,MPV,Honda,Diesel,Manual,3532244
7000044,Lahore,2019,2660,20500,MPV,Honda,Diesel,Manual,4850142
7000045,Lahore,1996,860,164500,MPV,Honda,Diesel,Manual,3826573
7000046,Lahore,1993,1360,224500,MPV,Honda,Diesel,Manual,3819264
7000047,Lahore,2021,1760,232000,MPV,Honda,Diesel,Manual,4447406
7000048,Lahore,1993,1160,220000,MPV,Honda,Petrol,Manual,2860723
7000049,Lahore,2014,3160,113500,MPV,Honda,Diesel,Manual,2715861
7000050,Lahore,1998,3460,3000,MPV,Honda,Petrol,Manual,3533654
7000051,Lahore,1995,2560,239500,MPV,Honda,Diesel,Manual,2115165
7000052,Lahore,1999,3260,211000,MPV,Honda,Petrol,Manual,2253309
7000053,Lahore,2009,660,135500,MPV,Honda,Petrol,Manual,3479814
7000054,Lahore,2009,3360,248000,MPV,Honda,Petrol,Automatic,2173923
7000055,Lahore,2001,3260,173000,MPV,Honda,Petrol,Manual,2493022
