addref,city,year,engine,mileage,body,make,fuel,transmission,price
7000001,Lahore,1993,2060.0,12000.0,Mpv,Honda,Petrol,Manual,2541431.0
7000004,Lahore,2009,2560.0,2500.0,Mpv,Honda,Petrol,Manual,2625972.0
7000005,Lahore,2017,1960.0,19500.0,Mpv,Honda,Petrol,Manual,5160204.0
7000007,Lahore,2011,1660.0,102500.0,Mpv,Honda,Petrol,Manual,3017341.0
7000009,Lahore,1996,660.0,232500.0,Mpv,Honda,Petrol,Automatic,3968182.0
7000010,Lahore,2021,2160.0,10500.0,Mpv,Honda,Petrol,Manual,3750463.0
7000011,Lahore,2003,860.0,208000.0,Mpv,Honda,Diesel,Manual,2208006.0
7000012,Lahore,1998,3360.0,126500.0,Mpv,Honda,Petrol,Manual,1084195.0
7000013,Lahore,2002,3360.0,1000.0,Mpv,Honda,Petrol,Manual,2344550.0
7000014,Lahore,1997,1960.0,131500.0,Mpv,Honda,Diesel,Automatic,3596049.0
7000018,Lahore,2010,1060.0,194000.0,Mpv,Honda,Petrol,Manual,1654110.0
7000019,Lahore,2004,1260.0,231500.0,Mpv,Honda,Petrol,Manual,2267018.0
7000020,Lahore,2005,660.0,28000.0,Mpv,Honda,Diesel,Manual,1643965.0
7000021,Lahore,1992,2960.0,166500.0,Mpv,Honda,Diesel,Manual,2500513.0
7000023,Lahore,2009,2260.0,5500.0,Mpv,Honda,Petrol,Automatic,1524898.0
7000025,Lahore,2011,2460.0,14000.0,Mpv,Honda,Petrol,Automatic,4932209.0
7000026,Lahore,2000,1360.0,190500.0,Mpv,Honda,Petrol,Automatic,2468116.0
7000027,Lahore,1996,2760.0,170000.0,Mpv,Honda,Petrol,Manual,1996221.0
7000029,Lahore,2010,2660.0,70500.0,Mpv,Honda,Petrol,Automatic,4139958.0
7000030,Lahore,2011,3460.0,2500.0,Mpv,Honda,Petrol,Manual,2018105.0
7000031,Lahore,2019,1060.0,240000.0,Mpv,Honda,Petrol,Automatic,2811094.0
7000032,Lahore,1996,2760.0,114500.0,Mpv,Honda,Cng,Manual,2953494.0
7000034,Lahore,2012,3460.0,136000.0,Mpv,Honda,Petrol,Manual,1713005.0
7000035,Lahore,2009,2260.0,186000.0,Mpv,Honda,Diesel,Manual,2639177.0
7000036,Lahore,2018,660.0,143500.0,Mpv,Honda,Diesel,Manual,3009956.0
7000037,Lahore,2014,2660.0,90500.0,Mpv,Honda,Petrol,Automatic,2769677.0
7000038,Lahore,1999,1260.0,92500.0,Mpv,Honda,Petrol,Automatic,3876184.0
7000039,Lahore,1992,1060.0,216500.0,Mpv,Honda,Hybrid,Manual,3078161.0
7000041,Lahore,2021,1660.0,221000.0,Mpv,Honda,Petrol,Manual,2530609.0
7000042,Lahore,2009,860.0,130500.0,Mpv,Honda,Petrol,Manual,3058338.0
7000046,Lahore,1993,1360.0,224500.0,Mpv,Honda,Diesel,Manual,3819264.0
7000047,Lahore,2021,1760.0,232000.0,Mpv,Honda,Diesel,Manual,4447406.0
7000048,Lahore,1993,1160.0,220000.0,Mpv,Honda,Petrol,Manual,2860723.0
7000049,Lahore,2014,3160.0,113500.0,Mpv,Honda,Diesel,Manual,2715861.0
7000050,Lahore,1998,3460.0,3000.0,Mpv,Honda,Petrol,Manual,3533654.0
7000052,Lahore,1999,3260.0,211000.0,Mpv,Honda,Petrol,Manual,2253309.0
7000053,Lahore,2009,660.0,135500.0,Mpv,Honda,Petrol,Manual,3479814.0
7000054,Lahore,2009,3360.0,248000.0,Mpv,Honda,Petrol,Automatic,2173923.0
7000055,Lahore,2001,3260.0,173000.0,Mpv,Honda,Petrol,Manual,2493022.0
7000056,Lahore,2004,1260.0,247500.0,Mpv,Honda,Diesel,Manual,3895498.0
7000057,Lahore,2019,2060.0,55000.0,Mpv,Honda,Petrol,Automatic,4436134.0
7000058,Lahore,1993,3160.0,199000.0,Mpv,Honda,Diesel,Manual,1421301.0
